CLASS,PROPERTY,DATA TYPE,LABEL(S),COMMENT(S)
SPECIFICATION,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SPECIFICATION,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
SPECIFICATION,title,string,,"A short, human-readable identifying label."
SPECIFICATION,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
SPECIFICATION,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
SPECIFICATION,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
SPECIFICATION,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
SPECIFICATION,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
FILE,,,,A file in a filesystem
FILE,createBy,FILE_CREATION,,FILE_CREATION ACTIVITY that created this file
FILE,definedIn,FILE,,The file an ENTITY is defined or contained in
FILE,fileFormat,FORMAT,,The byte-level encoding of a file
FILE,fileHash,FILE_HASH,,Hash of the file contents
FILE,filename,string,,A logical file path relative to the container of the file.
FILE,satisfies,ENTITY,,ENTITY(s) (e.g. REQUIREMENT) that this code file participates in satisfying
FILE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
FILE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
FILE,generatedAtTime,dateTime,,The time this entity was created and available for use
FILE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
FILE,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
FILE,title,string,,"A short, human-readable identifying label."
FILE,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
FILE,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
FILE,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
FILE,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
FILE,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
FILE_CREATION,,,,An ACTIVITY that produces a FILE
FILE_CREATION,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
FILE_CREATION,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
FILE_CREATION,endedAtTime,dateTime,,The time an activity was ended
FILE_CREATION,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
FILE_CREATION,startedAtTime,dateTime,,The time an activity was started
FILE_CREATION,title,string,,"A short, human-readable identifying label."
FILE_CREATION,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
FILE_CREATION,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
FILE_CREATION,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
FILE_HASH,,,,A hash identifying a FILE
FILE_HASH,hashType,HASH_TYPE,,Hash algorithm
FILE_HASH,hashValue,string,,Hash value
FILE_HASH,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
FILE_HASH,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
FILE_HASH,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
FILE_HASH,title,string,,"A short, human-readable identifying label."
FORMAT,,,,The data format of a FILE
FORMAT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
FORMAT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
FORMAT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
FORMAT,title,string,,"A short, human-readable identifying label."
HASH_TYPE,,"enumeration: [http://arcos.rack/FILE#MD5, http://arcos.rack/FILE#SHA1, http://arcos.rack/FILE#SHA2_256, http://arcos.rack/FILE#SHA2_512]",,A type of cryptographic hash
HASH_TYPE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
HASH_TYPE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
HASH_TYPE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
HASH_TYPE,title,string,,"A short, human-readable identifying label."
HAZARD,,,,"HAZARD as identified by some HAZARD_IDENTIFICATION ACTIVITY, to be assessed for certification"
HAZARD,definedIn,FILE,,The file an ENTITY is defined or contained in
HAZARD,definition,string,,Description of the HAZARD
HAZARD,effect,string,,consequence(s) of the HAZARD
HAZARD,identified,HAZARD_IDENTIFICATION,,how this HAZARD was identified
HAZARD,likelihood,float,,probability value between 0 and 1
HAZARD,severity,float,,the severity of the HAZARD
HAZARD,source,ENTITY,,ENTITY(s) that participate in causing this HAZARD
HAZARD,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
HAZARD,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
HAZARD,generatedAtTime,dateTime,,The time this entity was created and available for use
HAZARD,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
HAZARD,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
HAZARD,title,string,,"A short, human-readable identifying label."
HAZARD,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
HAZARD,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
HAZARD,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
HAZARD,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
HAZARD,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
HAZARD_IDENTIFICATION,,,,ACTIVITY that identifies potential sources of HAZARD whose risk must be evaluated
HAZARD_IDENTIFICATION,author,AGENT,,AGENT(s) who work on this ACTIVITY
HAZARD_IDENTIFICATION,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
HAZARD_IDENTIFICATION,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
HAZARD_IDENTIFICATION,endedAtTime,dateTime,,The time an activity was ended
HAZARD_IDENTIFICATION,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
HAZARD_IDENTIFICATION,startedAtTime,dateTime,,The time an activity was started
HAZARD_IDENTIFICATION,title,string,,"A short, human-readable identifying label."
HAZARD_IDENTIFICATION,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
HAZARD_IDENTIFICATION,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
HAZARD_IDENTIFICATION,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
OBJECTIVE,,,,An OBJECTIVE identifies tasks from a process for which evidence must be provided to show that the task has been completed. 
OBJECTIVE,definedIn,FILE,,The file an ENTITY is defined or contained in
OBJECTIVE,satisfiedBy,ACTIVITY,,An ACTIVITY that demonstrates that the OBJECTIVE has been satisfied.
OBJECTIVE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
OBJECTIVE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
OBJECTIVE,generatedAtTime,dateTime,,The time this entity was created and available for use
